,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ginda,30.6945,78.4932,49.69,57,98,4.21,IN,1635037541
1,Great Falls,47.5002,-111.3008,49.41,45,1,8.01,US,1635037569
2,Wahpeton,46.2652,-96.6059,43.61,75,40,8.05,US,1635037685
3,Codrington,-38.2667,141.9667,53.08,63,100,15.28,AU,1635037661
4,Mīzan Teferī,6.9833,35.5833,61.72,69,1,3.11,ET,1635037687
5,Conde,-7.2597,-34.9075,78.26,83,20,6.91,BR,1635037688
6,Castro,-24.7911,-50.0119,61.83,96,100,4.59,BR,1635037688
7,Pisco,-13.7,-76.2167,61.02,82,27,21.85,PE,1635037689
8,Ancud,-41.8697,-73.8203,47.73,76,56,8.66,CL,1635037654
9,Atuona,-9.8,-139.0333,78.19,79,9,17.52,PF,1635037673
10,New Norfolk,-42.7826,147.0587,54.66,73,100,1.99,AU,1635037692
11,Clyde River,70.4692,-68.5914,18.3,82,95,13.24,CA,1635037693
12,Tasiilaq,65.6145,-37.6368,32.16,95,100,8.16,GL,1635037694
13,Shelburne,44.0787,-80.2041,42.76,87,72,5.1,CA,1635037695
14,Cape Town,-33.9258,18.4232,56.1,75,4,5.5,ZA,1635037696
15,Ushuaia,-54.8,-68.3,33.46,93,90,17.27,AR,1635037483
16,Kalmar,56.6616,16.3616,28.33,100,100,0.0,SE,1635037460
17,Otradnoye,59.7775,30.8181,34.56,89,84,9.24,RU,1635037698
18,Hamilton,39.1834,-84.5333,56.25,83,90,0.0,US,1635037525
19,Sitka,57.0531,-135.33,48.09,61,90,10.36,US,1635037699
20,Hobyo,5.3505,48.5268,78.66,80,1,7.54,SO,1635037700
21,Rikitea,-23.1203,-134.9692,75.0,80,100,19.13,PF,1635037701
22,Fort Nelson,58.8053,-122.7002,42.91,81,100,6.04,CA,1635037702
23,Kapaa,22.0752,-159.319,84.18,77,40,5.01,US,1635037703
24,Bouna,9.2667,-3.0,72.9,93,97,3.83,CI,1635037704
25,Faanui,-16.4833,-151.75,78.51,78,88,14.18,PF,1635037704
26,Oodweyne,9.4092,45.064,69.44,33,3,12.12,SO,1635037705
27,Panguna,-6.3164,155.4848,79.79,70,39,2.28,PG,1635037706
28,Taizhou,32.4933,119.9106,62.11,57,79,4.38,CN,1635037556
29,Pangody,65.85,74.4859,25.95,89,57,14.43,RU,1635037707
30,Fortuna,40.5982,-124.1573,62.94,82,90,5.99,US,1635037708
31,São Filipe,14.8961,-24.4956,79.23,68,6,9.62,CV,1635037709
32,Mataura,-46.1927,168.8643,64.89,61,100,1.07,NZ,1635037710
33,Punta Arenas,-53.15,-70.9167,35.71,87,20,13.8,CL,1635037711
34,Harunabad,29.6133,73.1389,68.36,78,22,13.31,PK,1635037712
35,Saint Paul Harbor,57.79,-152.4072,43.29,87,99,20.78,US,1635037712
36,Guerrero Negro,27.9769,-114.0611,67.28,76,0,17.25,MX,1635037713
37,Port Elizabeth,-33.918,25.5701,57.9,64,1,12.46,ZA,1635037647
38,Constitución,-35.3333,-72.4167,50.68,87,0,13.89,CL,1635037715
39,Zhigansk,66.7697,123.3711,25.99,93,100,7.94,RU,1635037716
40,Thompson,55.7435,-97.8558,35.85,73,100,4.16,CA,1635037677
41,Alice Springs,-23.7,133.8833,76.55,22,75,18.41,AU,1635037718
42,Vanavara,60.34,102.2797,31.41,95,100,12.64,RU,1635037719
43,Riyadh,24.6877,46.7219,75.34,24,0,9.53,SA,1635037429
44,Bluff,-46.6,168.3333,52.7,91,100,3.27,NZ,1635037720
45,Enterprise,36.0252,-115.2419,73.94,32,75,7.0,US,1635037721
46,Tortolì,39.9256,9.6572,63.99,91,78,6.15,IT,1635037722
47,Raudeberg,61.9875,5.1352,48.87,84,100,11.01,NO,1635037723
48,Chengde,40.9725,117.9361,47.16,62,0,1.7,CN,1635037724
49,Mar del Plata,-38.0023,-57.5575,55.99,70,40,4.0,AR,1635037724
50,Hermanus,-34.4187,19.2345,54.9,69,36,3.38,ZA,1635037725
51,Takhli,15.2634,100.3438,74.89,87,57,10.0,TH,1635037726
52,Airai,-8.9266,125.4092,77.18,39,58,1.34,TL,1635037727
53,Odesskoye,54.2111,72.9651,44.96,86,18,12.64,RU,1635037728
54,Alappuzha,9.49,76.3264,75.07,85,90,4.29,IN,1635037729
55,Bredasdorp,-34.5322,20.0403,48.27,75,44,1.72,ZA,1635037667
56,Opunake,-39.4556,173.8583,60.33,88,100,11.01,NZ,1635037731
57,Busselton,-33.65,115.3333,71.04,61,100,4.94,AU,1635037679
58,Isabela,6.7085,121.9711,82.92,76,93,2.95,PH,1635037666
59,Severo-Kuril'sk,50.6789,156.125,40.87,85,66,12.17,RU,1635037733
60,Hasaki,35.7333,140.8333,63.28,48,42,5.12,JP,1635037734
61,Camacha,33.0833,-16.3333,66.96,56,40,9.22,PT,1635037735
62,Dikson,73.5069,80.5464,8.91,87,100,14.03,RU,1635037737
63,Saint-Philippe,-21.3585,55.7679,74.75,84,40,13.22,RE,1635037738
64,Pavlodar,52.3,76.95,49.8,76,90,15.66,KZ,1635037739
65,Ribeira Grande,38.5167,-28.7,67.35,63,29,11.77,PT,1635037740
66,Srednekolymsk,67.45,153.6833,-4.23,89,44,4.76,RU,1635037741
67,Chui,-33.6971,-53.4616,56.12,93,100,6.49,UY,1635037742
68,Saravan,39.7196,45.6483,34.45,44,0,4.61,AM,1635037456
69,Lauria,40.0465,15.8358,59.68,87,100,11.52,IT,1635037743
70,Kavaratti,10.5669,72.642,81.18,75,60,2.55,IN,1635037738
71,Carnarvon,-24.8667,113.6333,75.27,69,0,12.66,AU,1635037745
72,Hilo,19.7297,-155.09,85.28,68,1,9.22,US,1635037565
73,Vaini,-21.2,-175.2,77.16,78,20,12.66,TO,1635037747
74,Mitsamiouli,-11.3847,43.2844,78.12,80,70,9.24,KM,1635037747
75,Auki,-8.7676,160.7034,87.13,64,29,6.29,SB,1635037748
76,Cherskiy,68.75,161.3,-3.77,99,91,4.14,RU,1635037749
77,Puerto Ayora,-0.7393,-90.3518,69.3,87,90,8.3,EC,1635037750
78,Linxia Chengguanzhen,35.6003,103.2064,46.04,72,100,0.92,CN,1635037751
79,Teguise,29.0605,-13.564,66.42,64,20,6.91,ES,1635037752
80,Aswān,24.0934,32.907,71.04,43,0,9.53,EG,1635037752
81,Port Alfred,-33.5906,26.891,58.05,70,4,15.99,ZA,1635037753
82,Ketchikan,55.3422,-131.6461,43.75,92,100,10.45,US,1635037726
83,Andenes,69.3143,16.1194,30.18,86,20,4.61,NO,1635037755
84,Faya,18.3851,42.4509,56.19,29,6,4.45,SA,1635037756
85,Forsytheganj,52.6333,29.7333,38.52,90,80,11.14,BY,1635037756
86,Puerto Maldonado,-12.6,-69.1833,84.54,58,90,3.6,PE,1635037757
87,Hithadhoo,-0.6,73.0833,82.67,70,100,11.97,MV,1635037758
88,Vaitape,-16.5167,-151.75,78.62,77,86,13.67,PF,1635037759
89,Koyima,8.7,-11.0333,70.21,99,100,0.2,SL,1635037760
90,Kavieng,-2.5744,150.7967,85.98,66,17,12.15,PG,1635037760
91,Tiksi,71.6872,128.8694,1.74,95,100,9.78,RU,1635037761
92,Tshikapa,-6.4167,20.8,70.07,93,98,2.8,CD,1635037762
93,Tomatlán,19.9333,-105.25,76.98,94,100,2.37,MX,1635037763
94,Ambunti,-4.2365,142.8448,89.42,57,68,2.89,PG,1635037765
95,East London,-33.0153,27.9116,59.47,67,14,18.3,ZA,1635037765
96,Hualmay,-11.0964,-77.6139,62.87,83,29,11.59,PE,1635037766
97,Flin Flon,54.7682,-101.865,37.58,73,98,9.89,CA,1635037767
98,Pogranichnyy,44.4064,131.3769,51.91,37,0,4.92,RU,1635037768
99,Port Blair,11.6667,92.75,80.51,76,100,3.33,IN,1635037769
100,Albany,42.6001,-73.9662,47.68,76,96,1.01,US,1635037565
101,Butaritari,3.0707,172.7902,81.16,73,56,8.1,KI,1635037771
102,Linjiang,41.8069,126.9078,47.46,52,0,1.43,CN,1635037702
103,Yellowknife,62.456,-114.3525,41.56,86,100,13.0,CA,1635037495
104,Hobart,-42.8794,147.3294,55.02,70,75,5.01,AU,1635037773
105,Cidreira,-30.1811,-50.2056,65.17,91,100,9.53,BR,1635037699
106,Necochea,-38.5473,-58.7368,47.03,58,0,12.53,AR,1635037776
107,Jamestown,42.097,-79.2353,45.01,95,90,1.01,US,1635037508
108,Kailua,21.4022,-157.7394,84.18,64,40,11.5,US,1635037777
109,Port Moresby,-9.4431,147.1797,83.8,66,99,5.23,PG,1635037778
110,Kaitangata,-46.2817,169.8464,57.87,70,100,3.96,NZ,1635037779
111,Hirado,33.3597,129.5531,61.36,52,100,10.87,JP,1635037780
112,Guangzhou,23.1167,113.25,68.0,59,58,10.92,CN,1635037781
113,Mahébourg,-20.4081,57.7,74.25,72,81,13.8,MU,1635037707
114,Avarua,-21.2078,-159.775,75.25,57,75,13.8,CK,1635037622
115,Labuhan,-6.8844,112.2051,84.65,67,58,5.23,ID,1635037783
116,Ozinki,51.1786,49.6769,52.18,91,100,11.59,RU,1635037784
117,Barrow,71.2906,-156.7887,28.42,86,90,12.66,US,1635037667
118,Sindor,62.8629,51.8905,27.37,89,25,2.68,RU,1635037786
119,San Jerónimo,-11.9472,-75.2829,56.1,69,100,4.99,PE,1635037786
120,Río Gallegos,-51.6226,-69.2181,39.25,60,0,20.71,AR,1635037787
121,Chimbarongo,-34.7,-71.05,58.08,53,0,3.18,CL,1635037788
122,Korla,41.7597,86.1469,48.56,39,99,2.89,CN,1635037789
123,Upernavik,72.7868,-56.1549,18.66,87,100,13.67,GL,1635037748
124,Salalah,17.0151,54.0924,73.49,64,0,5.75,OM,1635037790
125,Tamandaré,-8.7597,-35.1047,77.63,86,13,10.0,BR,1635037791
126,Souillac,-20.5167,57.5167,74.35,74,31,10.89,MU,1635037792
127,Tombouctou,20.0,-3.0,82.47,22,0,8.39,ML,1635037793
128,Safaga,26.7292,33.9365,74.75,49,5,18.7,EG,1635037794
129,Chokurdakh,70.6333,147.9167,-2.04,97,100,6.49,RU,1635037795
130,Qaanaaq,77.484,-69.3632,-0.89,58,0,7.76,GL,1635037796
131,Hanko,59.8333,22.95,34.84,67,21,13.4,FI,1635037797
132,Margherita,27.2833,95.6833,71.08,90,3,1.07,IN,1635037798
133,Tuktoyaktuk,69.4541,-133.0374,25.63,93,94,3.31,CA,1635037799
134,Kumo,10.0447,11.2122,75.16,81,100,3.6,NG,1635037800
135,Provideniya,64.3833,-173.3,25.54,77,100,8.43,RU,1635037789
136,Camabatela,-8.1881,15.375,64.38,98,100,3.09,AO,1635037801
137,Vardø,70.3705,31.1107,35.35,67,61,24.11,NO,1635037802
138,Bengkulu,-3.8004,102.2655,78.3,84,100,3.15,ID,1635037804
139,Flagstaff,35.1981,-111.6513,55.67,48,1,8.99,US,1635037805
140,Harper,4.375,-7.7169,77.13,88,82,6.58,LR,1635037806
141,Glasgow,55.8652,-4.2576,55.31,91,90,5.99,GB,1635037711
142,Shenjiamen,29.9576,122.298,65.32,69,100,14.81,CN,1635037808
143,Fuyang,32.9,115.8167,58.78,57,99,3.13,CN,1635037809
144,Port Lincoln,-34.7333,135.8667,60.01,60,17,11.63,AU,1635037810
145,Wajima,37.4,136.9,60.06,51,51,2.46,JP,1635037811
146,Saint-Pierre,-21.3393,55.4781,74.84,77,0,4.61,RE,1635037812
147,Mount Isa,-20.7333,139.5,92.97,26,0,10.36,AU,1635037813
148,El Salvador,13.8333,-88.9167,72.0,98,100,2.98,SV,1635037814
149,Monrovia,6.3005,-10.7969,76.39,89,100,4.52,LR,1635037666
150,Coffs Harbour,-30.3,153.1333,88.12,78,37,8.05,AU,1635037555
151,Obo,5.3998,26.4869,68.97,92,100,2.73,CF,1635037816
152,Seybaplaya,19.65,-90.6667,79.48,81,44,8.61,MX,1635037817
153,Nikolskoye,59.7035,30.7861,34.39,89,78,9.17,RU,1635037790
154,Guadalupe,25.6833,-100.25,82.45,81,1,4.61,MX,1635037732
155,Longyearbyen,78.2186,15.6401,17.44,73,0,6.91,SJ,1635037820
156,Te Anau,-45.4167,167.7167,57.36,78,100,2.06,NZ,1635037820
157,Coyhaique,-45.5752,-72.0662,46.35,57,75,4.61,CL,1635037696
158,Udachny,66.4167,112.4,26.17,92,100,20.31,RU,1635037822
159,Ambilobe,-13.2,49.05,73.06,92,95,3.02,MG,1635037777
160,Itoman,26.1247,127.6694,77.02,61,75,12.66,JP,1635037823
161,Davidson,36.1501,-86.7833,63.68,75,40,3.0,US,1635037824
162,Jardim,-21.4803,-56.1381,84.72,52,100,9.28,BR,1635037825
163,George Town,5.4112,100.3354,81.9,83,20,0.0,MY,1635037826
164,Sayyan,15.1718,44.3244,52.2,42,68,4.65,YE,1635037827
165,Broome,42.2506,-75.833,45.19,87,75,1.01,US,1635037828
166,Tacarigua,10.0862,-67.9198,71.83,95,41,2.62,VE,1635037829
167,Nabire,-3.3667,135.4833,81.54,82,77,1.92,ID,1635037830
168,Hambantota,6.1241,81.1185,79.21,80,29,13.04,LK,1635037818
169,Marawi,7.9986,124.2928,72.64,66,86,3.22,PH,1635037831
170,Bethel,41.3712,-73.414,55.18,76,90,3.44,US,1635037832
171,Gizo Government Station,-8.103,156.8419,85.23,68,17,9.08,SB,1635037833
172,Lavrentiya,65.5833,-171.0,24.89,83,100,9.62,RU,1635037786
173,Sinnamary,5.3833,-52.95,78.21,87,82,10.31,GF,1635037834
174,Los Llanos de Aridane,28.6585,-17.9182,65.12,80,75,1.99,ES,1635037835
175,Buin,-33.7333,-70.75,64.74,43,0,4.38,CL,1635037836
176,San Jose,37.3394,-121.895,66.11,62,90,13.8,US,1635037836
177,Nísia Floresta,-6.0911,-35.2086,81.41,80,63,8.79,BR,1635037837
178,Santa Cruz del Sur,20.7147,-77.9956,79.79,78,100,4.59,CU,1635037838
179,San Vicente,-26.6167,-54.1333,60.57,100,100,3.33,AR,1635037839
180,Tobermory,45.2501,-81.6665,47.3,64,46,8.66,CA,1635037840
181,Katsuura,35.1333,140.3,59.14,53,22,6.49,JP,1635037712
182,Nampa,43.5407,-116.5635,54.79,73,1,6.91,US,1635037811
183,Emirdağ,39.0197,31.15,50.18,55,12,2.44,TR,1635037842
184,Hyères,43.1167,6.1167,62.73,69,0,4.61,FR,1635037843
185,Shujālpur,23.4,76.7167,64.98,67,0,3.4,IN,1635037843
186,Nizwá,22.9333,57.5333,73.47,61,0,1.14,OM,1635037844
187,Geraldton,-28.7667,114.6,76.12,56,0,1.14,AU,1635037845
188,Terrace,54.5163,-128.6035,45.43,90,98,1.48,CA,1635037846
189,Huarmey,-10.0681,-78.1522,64.06,85,38,10.8,PE,1635037847
190,Husavik,66.0449,-17.3389,39.94,96,100,4.85,IS,1635037847
191,Touros,-5.1989,-35.4608,81.5,81,65,12.97,BR,1635037848
192,Kapuskasing,49.4169,-82.4331,34.45,98,100,5.12,CA,1635037555
193,Yichun,47.7,128.9,44.37,45,2,3.04,CN,1635037850
194,Lebu,-37.6167,-73.65,49.8,93,12,6.64,CL,1635037851
195,Kutum,14.2,24.6667,73.72,26,57,14.36,SD,1635037851
196,Ixtapa,20.7,-105.2,83.43,84,75,5.75,MX,1635037601
197,Doda,33.1333,75.5667,53.35,85,100,3.33,IN,1635037853
198,Ayan,56.45,138.1667,40.03,61,99,7.43,RU,1635037854
199,Camocim,-2.9022,-40.8411,79.54,82,55,11.07,BR,1635037855
200,Bac Lieu,9.285,105.7244,82.18,79,33,6.04,VN,1635037856
201,Birjand,32.8663,59.2211,47.91,17,0,0.76,IR,1635037857
202,Ayagoz,47.9714,80.4392,32.65,57,81,7.36,KZ,1635037857
203,Worland,44.0169,-107.9554,52.68,64,90,4.0,US,1635037858
204,Kozlovo,56.5167,36.2667,36.95,94,100,9.33,RU,1635037859
205,San Patricio,28.017,-97.5169,78.84,69,0,9.48,US,1635037860
206,Quryq,43.2,51.65,53.15,38,60,11.3,KZ,1635037861
207,Berdigestyakh,62.0989,126.6992,34.79,98,100,8.12,RU,1635037693
208,Asău,46.4333,26.4,45.39,63,99,1.92,RO,1635037807
209,Saint George,37.1041,-113.5841,70.39,29,1,6.91,US,1635037863
210,Juneau,58.3019,-134.4197,46.45,92,75,12.66,US,1635037864
211,Lábrea,-7.2586,-64.7981,82.96,62,94,2.71,BR,1635037865
212,Los Andes,-32.8337,-70.5983,60.58,40,0,0.98,CL,1635037866
213,Karatuzskoye,53.6072,92.8667,37.09,83,99,6.08,RU,1635037867
214,Khudumelapye,-23.8833,24.75,64.2,23,0,15.14,BW,1635037868
215,Fontem,5.4685,9.8818,63.7,93,98,2.37,CM,1635037869
216,Victoria Point,-27.5833,153.3,92.68,40,74,5.01,AU,1635037869
217,Galveston,29.3669,-94.9669,72.03,84,100,4.0,US,1635037870
218,La Sarre,48.8002,-79.1996,34.12,92,96,1.34,CA,1635037871
219,Norman Wells,65.282,-126.8329,28.8,94,1,2.35,CA,1635037670
220,Palmer,42.1584,-72.3287,52.41,66,75,3.44,US,1635037833
221,Sinegorskiy,48.0139,40.8447,49.51,74,100,6.08,RU,1635037873
222,Torbay,47.6666,-52.7314,59.76,95,100,3.0,CA,1635037874
223,Fichē,9.8,38.7333,44.78,68,6,3.22,ET,1635037875
224,Northam,51.0333,-4.2167,56.01,78,100,20.62,GB,1635037876
225,Santa Barbara,34.7333,-120.0343,61.59,57,1,12.66,US,1635037866
226,Lüderitz,-26.6481,15.1594,56.61,71,0,16.96,NA,1635037777
227,Kudahuvadhoo,2.6708,72.8944,82.65,73,95,13.69,MV,1635037878
228,Guirang,11.35,125.1167,83.16,77,100,2.95,PH,1635037879
229,Sambava,-14.2667,50.1667,74.53,92,99,4.36,MG,1635037880
230,Nanortalik,60.1432,-45.2371,35.51,71,15,19.55,GL,1635037714
231,Kristiansund,63.1115,7.732,42.85,87,90,6.91,NO,1635037881
232,Soavinandriana,-19.1667,46.7333,58.39,54,0,3.44,MG,1635037882
233,Bilma,18.6853,12.9164,80.01,16,41,5.88,NE,1635037883
234,Karasjok,69.4719,25.5112,24.91,86,67,2.68,NO,1635037884
235,Hurricane,37.1753,-113.2899,68.59,42,81,1.95,US,1635037567
236,Muzhi,65.3667,64.6667,28.02,76,6,18.66,RU,1635037885
237,Palmas de Monte Alto,-14.2672,-43.1619,76.19,71,100,4.85,BR,1635037886
238,Tha Chang,9.2642,99.1922,81.21,85,90,2.84,TH,1635037887
239,Kribi,2.95,9.9167,76.06,87,58,2.21,CM,1635037888
240,Novikovo,51.1537,37.8879,37.81,78,33,7.7,RU,1635037889
241,Eyl,7.9803,49.8164,77.13,79,3,7.45,SO,1635037814
242,Tarija,-21.5355,-64.7296,64.31,63,75,13.8,BO,1635037686
243,Pacific Grove,36.6177,-121.9166,64.76,77,75,1.01,US,1635037891
244,Ust-Nera,64.5667,143.2,5.16,95,85,4.9,RU,1635037892
245,Tupik,54.4253,119.9327,36.28,65,79,2.21,RU,1635037893
246,Malakal,9.5334,31.6605,75.87,60,8,0.69,SS,1635037895
247,Verkhoyansk,67.5447,133.385,7.36,94,100,2.75,RU,1635037896
248,Kūhdasht,33.535,47.6061,60.62,34,98,5.1,IR,1635037896
249,Murray Bridge,-35.1167,139.2667,66.43,56,72,10.2,AU,1635037897
250,Cabo San Lucas,22.8909,-109.9124,83.61,71,1,5.99,MX,1635037805
251,Hereford,52.0568,-2.7148,54.68,58,100,13.91,GB,1635037899
252,Inírida,3.8653,-67.9239,74.43,98,100,1.48,CO,1635037899
253,Sussex,41.1834,-74.6663,53.69,74,90,0.0,US,1635037900
254,Khatanga,71.9667,102.5,8.4,91,98,15.88,RU,1635037901
255,Alihe,50.5667,123.7167,41.54,60,0,2.15,CN,1635037902
256,Kruisfontein,-34.0033,24.7314,52.03,72,5,8.72,ZA,1635037684
257,Kulevcha,46.0303,29.9361,50.61,41,100,9.35,UA,1635037903
258,Mumford,5.2618,-0.759,77.5,85,99,4.97,GH,1635037904
259,Alta Floresta,-9.8756,-56.0861,74.71,83,18,3.71,BR,1635037905
260,Mana,5.6592,-53.7767,77.79,90,100,9.66,GF,1635037906
261,Belmonte,-15.8631,-38.8828,75.7,91,100,3.47,BR,1635037907
262,Alofi,-19.0595,-169.9187,74.21,65,97,22.35,NU,1635037907
263,Tucumã,-0.1833,-50.05,79.45,83,91,6.38,BR,1635037908
264,Bambanglipuro,-7.95,110.2833,82.53,71,13,4.74,ID,1635037909
265,Bambous Virieux,-20.3428,57.7575,74.21,71,92,13.56,MU,1635037909
266,Pangnirtung,66.1451,-65.7125,23.7,86,100,5.5,CA,1635037716
267,Sydney,-33.8679,151.2073,76.32,66,75,5.01,AU,1635037590
268,Laguna,38.421,-121.4238,64.11,74,90,1.01,US,1635037685
269,Khovd,48.0056,91.6419,32.85,44,0,7.05,MN,1635037895
270,Savannah Bight,16.45,-85.85,82.0,79,56,20.94,HN,1635037913
271,Bilibino,68.0546,166.4372,-6.09,98,92,0.89,RU,1635037914
272,Mamaku,-38.1,176.0833,53.4,93,100,5.7,NZ,1635037914
273,Pontianak,-0.0333,109.3333,78.78,88,20,4.61,ID,1635037711
274,Ambatondrazaka,-17.8333,48.4167,65.35,96,3,2.15,MG,1635037640
275,Mahajanga,-15.7167,46.3167,73.42,94,20,3.44,MG,1635037725
276,Kloulklubed,7.0419,134.2556,86.5,71,14,2.26,PW,1635037917
277,Seymchan,62.8833,152.4333,3.78,69,26,1.9,RU,1635037918
278,La Ronge,55.1001,-105.2842,38.28,69,6,14.79,CA,1635037919
279,Lata,40.1629,-8.3327,56.8,66,0,2.59,PT,1635037920
280,That Phanom,16.9364,104.7104,70.48,80,86,8.55,TH,1635037921
281,Broken Hill,-31.95,141.4333,62.85,36,0,12.06,AU,1635037687
282,Gobō,33.8833,135.15,58.98,47,82,5.41,JP,1635037922
283,Tazovsky,67.4667,78.7,28.08,98,100,6.96,RU,1635037923
284,Lethbridge,49.7,-112.8186,49.08,54,81,1.01,CA,1635037924
285,Ust-Tsilma,65.441,52.1498,21.36,97,53,4.0,RU,1635037925
286,Lanivtsi,49.8633,26.0908,39.58,79,84,13.56,UA,1635037925
287,Arraial do Cabo,-22.9661,-42.0278,71.01,88,0,32.5,BR,1635037914
288,Druzhinino,56.7895,59.5143,37.67,91,24,7.94,RU,1635037927
289,Saldanha,-33.0117,17.9442,57.49,73,0,8.39,ZA,1635037690
290,Evensk,61.95,159.2333,15.76,69,88,11.7,RU,1635037929
291,Paamiut,61.994,-49.6678,31.8,48,88,9.37,GL,1635037929
292,Chumikan,54.7183,135.315,40.77,66,97,14.92,RU,1635037931
293,Naifaru,5.4444,73.3657,82.33,73,100,14.32,MV,1635037932
