,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,Sinazongwe,-17.2614,27.4618,81.36,46,82,3.15,ZM,1635037933
295,Vao,-22.6667,167.4833,72.46,74,3,12.97,NC,1635037933
296,Quatre Cocos,-20.2078,57.7625,74.08,71,90,12.57,MU,1635037848
297,Gao,16.6362,1.637,85.6,39,82,6.89,ML,1635037912
298,Pozo Colorado,-23.4923,-58.7972,71.38,92,100,9.8,PY,1635037936
299,Ponta do Sol,32.6667,-17.1,70.43,65,14,6.38,PT,1635037660
300,Waddān,29.1614,16.139,79.0,21,100,11.36,LY,1635037937
301,Yangi Marg`ilon,40.4272,71.7189,38.12,70,0,6.91,UZ,1635037860
302,Ngunguru,-35.6167,174.5,65.16,96,100,20.38,NZ,1635037939
303,Gubkinskiy,64.434,76.5026,34.75,86,94,18.03,RU,1635037940
304,Khojaly District,39.913,46.7903,53.15,56,0,4.45,AZ,1635037940
305,Honiara,-9.4333,159.95,86.99,62,23,4.16,SB,1635037941
306,Hong Kong,22.2855,114.1577,74.25,75,24,5.01,HK,1635037751
307,Deqing,30.5448,119.9599,65.95,67,56,1.9,CN,1635037943
308,Binga,-17.6203,27.3414,81.64,39,81,1.7,ZW,1635037944
309,Indramayu,-6.3264,108.32,83.71,69,96,4.83,ID,1635037944
310,Katangli,51.7102,143.2326,42.55,75,92,21.25,RU,1635037945
311,Lorengau,-2.0226,147.2712,85.05,70,98,10.4,PG,1635037934
312,Ibotirama,-12.1853,-43.2206,80.08,69,100,2.53,BR,1635037947
313,Leningradskiy,69.3833,178.4167,11.08,93,100,9.15,RU,1635037948
314,Doha,25.2867,51.5333,78.78,65,0,3.44,QA,1635037949
315,Khromtau,50.2503,58.4347,42.3,51,0,11.63,KZ,1635037950
316,Olinda,-8.0089,-34.8553,82.13,74,40,6.91,BR,1635037951
317,Kiryat Gat,31.61,34.7642,67.82,100,4,2.89,IL,1635037904
318,Olafsvik,64.8945,-23.7142,45.34,83,100,12.26,IS,1635037759
319,Chaplynka,46.3651,33.5403,47.89,56,95,8.75,UA,1635037953
320,Coxim,-18.5067,-54.76,89.91,41,0,16.17,BR,1635037953
321,Boguchany,58.3814,97.4531,36.86,95,100,13.53,RU,1635037954
322,Saskylakh,71.9167,114.0833,6.93,94,100,14.74,RU,1635037684
323,Casper,42.8666,-106.3131,48.51,83,90,7.0,US,1635037956
324,Notodden,59.5594,9.2585,45.19,87,100,3.51,NO,1635037956
325,Biryusinsk,55.9634,97.8235,38.75,80,100,13.47,RU,1635037957
326,São João da Barra,-21.6403,-41.0511,72.79,87,4,22.7,BR,1635037877
327,Port-Gentil,-0.7193,8.7815,77.52,85,99,9.55,GA,1635037959
328,Bongandanga,1.5,21.05,69.73,99,88,2.15,CD,1635037960
329,Maragogi,-9.0122,-35.2225,78.46,83,23,10.71,BR,1635037845
330,Hofn,64.2539,-15.2082,45.34,73,100,4.54,IS,1635037961
331,Rincon,32.296,-81.2354,67.12,88,1,0.0,US,1635037962
332,Flinders,-34.5833,150.8552,73.8,64,54,5.01,AU,1635037718
333,Arlit,18.7369,7.3853,83.28,15,0,7.2,NE,1635037964
334,Bahía Solano,6.2262,-77.4044,76.3,87,100,5.19,CO,1635037965
335,Coquimbo,-29.9533,-71.3436,56.93,76,0,1.14,CL,1635037699
336,Vestmannaeyjar,63.4427,-20.2734,47.23,84,100,16.26,IS,1635037889
337,Assiut,27.181,31.1837,67.08,54,0,9.78,EG,1635037706
338,Loreto,22.2667,-101.9667,71.11,34,99,4.92,MX,1635037716
339,Aitape,-3.1374,142.3475,84.33,72,99,8.01,PG,1635037888
340,Grand Gaube,-20.0064,57.6608,74.37,76,97,5.99,MU,1635037936
341,Kahului,20.8947,-156.47,84.22,69,40,23.02,US,1635037767
342,Binzhou,37.3667,118.0167,59.27,48,61,3.15,CN,1635037970
343,Yerbogachën,61.2767,108.0108,30.76,78,99,11.99,RU,1635037971
344,Finschhafen,-6.6024,147.8681,85.21,64,8,9.1,PG,1635037972
345,Mažeikiai,56.3167,22.3333,36.09,88,38,6.13,LT,1635037973
346,Beloha,-25.1667,45.05,68.07,79,0,4.14,MG,1635037640
347,Bani Walid,31.7566,13.9942,75.74,43,100,10.0,LY,1635037974
348,‘Āhuimanu,21.4447,-157.8378,83.91,60,40,11.5,US,1635037950
349,Cayenne,4.9333,-52.3333,78.1,90,75,0.0,GF,1635037898
350,Iberia,29.9502,-91.7507,77.11,83,1,5.75,US,1635037872
351,Porto Santo,33.072,-16.3415,69.71,56,40,9.22,PT,1635037977
352,Barra do Garças,-15.89,-52.2567,80.46,60,100,5.39,BR,1635037978
353,Westport,41.1415,-73.3579,57.18,66,90,3.0,US,1635037899
354,Raton,36.9034,-104.4391,61.14,31,1,6.91,US,1635037979
355,Okha,53.5739,142.9478,37.72,75,99,17.52,RU,1635037963
356,Muscatine,41.4667,-91.1335,51.24,48,90,1.01,US,1635037981
357,San Carlos,9.6612,-68.5827,75.61,85,70,3.51,VE,1635037982
358,Constantine,36.365,6.6147,58.68,89,97,4.12,DZ,1635037732
359,Tambovka,50.0969,128.0489,37.51,59,9,3.83,RU,1635037983
360,Longview,32.5007,-94.7405,79.7,66,1,1.01,US,1635037984
361,Kathmandu,27.7167,85.3167,62.82,94,40,2.3,NP,1635037788
362,Beringovskiy,63.05,179.3167,13.3,72,3,7.14,RU,1635037885
363,Luís Correia,-2.8792,-41.6669,80.26,83,68,10.96,BR,1635037986
364,Dingle,10.9995,122.6711,82.47,80,59,0.29,PH,1635037788
365,São Félix do Xingu,-6.6447,-51.995,73.76,91,97,1.5,BR,1635037988
366,Morondava,-20.2833,44.2833,67.64,80,0,6.31,MG,1635037988
367,Esperance,-33.8667,121.9,67.26,44,2,16.44,AU,1635037867
368,Nampula,-15.1165,39.2666,67.69,75,15,4.65,MZ,1635037990
369,Panzhihua,26.5851,101.7128,62.31,84,100,0.67,CN,1635037991
370,Richards Bay,-28.783,32.0377,67.26,73,100,18.7,ZA,1635037894
371,Nouakchott,18.0858,-15.9785,78.82,52,16,15.12,MR,1635037993
372,Nelson Bay,-32.7167,152.15,72.75,74,100,18.16,AU,1635037994
373,Antigonish,45.6169,-61.9986,61.93,96,100,1.99,CA,1635037998
374,Fairbanks,64.8378,-147.7164,37.4,74,1,0.0,US,1635037801
375,Neuquén,-38.9516,-68.0591,62.49,31,0,21.85,AR,1635037846
376,Drumnadrochit,57.3344,-4.4799,55.78,94,100,5.68,GB,1635038000
377,Antofagasta,-23.65,-70.4,58.28,79,26,6.49,CL,1635038001
378,El Dorado,38.7666,-120.5177,55.67,88,100,1.01,US,1635037946
379,Datong,40.0936,113.2914,46.87,47,11,3.22,CN,1635038003
380,Bathsheba,13.2167,-59.5167,83.01,69,75,20.71,BB,1635037852
381,Rafaela,-31.2503,-61.4867,64.06,58,0,3.0,AR,1635038004
382,Waipawa,-41.4122,175.5153,59.63,65,100,6.02,NZ,1635038005
383,Atar,20.5169,-13.0499,78.94,18,0,7.7,MR,1635038006
384,Mgandu,-5.95,34.1333,66.78,60,89,4.74,TZ,1635038006
385,Gondanglegi,-7.7479,112.0132,86.31,57,100,7.25,ID,1635038007
386,Meadow Lake,34.8014,-106.5436,67.71,20,99,7.0,US,1635037848
387,Fairview,40.8126,-73.999,57.47,69,90,0.0,US,1635038009
388,Iqaluit,63.7506,-68.5145,31.69,88,100,11.99,CA,1635037744
389,São João Evangelista,-18.5478,-42.7633,64.58,96,0,3.49,BR,1635038010
390,Araure,9.5601,-69.2148,76.15,82,9,3.62,VE,1635038011
391,Agulu,6.11,7.0724,71.94,92,82,1.19,NG,1635038012
392,Tauranga,-37.6861,176.1667,59.94,68,100,5.99,NZ,1635037865
393,Mezen',65.8522,44.24,30.4,92,100,5.75,RU,1635038014
394,Vanimo,-2.6741,141.3028,85.69,64,51,8.41,PG,1635037998
395,Darfo,45.8779,10.1812,57.02,76,39,4.0,IT,1635038015
396,Usinsk,65.9939,57.5281,19.09,92,13,11.01,RU,1635038016
397,Arkhipo-Osipovka,44.37,38.52,59.88,87,100,7.94,RU,1635038017
398,Oranjemund,-28.55,16.4333,55.87,82,0,12.1,NA,1635037886
399,Oktyabr'skiy,54.4815,53.471,42.94,94,100,1.39,RU,1635038019
400,Chamrajnagar,11.9167,76.95,70.2,96,100,2.44,IN,1635038020
401,Zinder,13.8072,8.9881,84.78,17,11,9.28,NE,1635038020
402,Altay,47.8667,88.1167,25.14,61,55,6.17,CN,1635038021
403,Sint Anthonis,51.6267,5.8819,44.29,96,75,2.3,NL,1635038022
404,Naryan-Mar,67.6713,53.087,25.41,90,44,7.63,RU,1635038023
405,Hay River,60.8156,-115.7999,44.1,83,100,11.12,CA,1635037814
406,Christchurch,-43.5333,172.6333,71.47,66,75,1.99,NZ,1635037944
407,Ratne,51.6683,24.5303,38.82,87,89,10.09,UA,1635038025
408,Tevaitoa,-16.7833,-151.5,77.65,80,78,9.89,PF,1635038026
409,Jieshi,22.8134,115.8257,68.95,71,60,9.28,CN,1635037851
410,Batagay,67.6333,134.6333,6.06,85,100,4.5,RU,1635037813
411,Cockburn Town,21.4612,-71.1419,83.16,69,90,19.37,TC,1635037787
412,San Cristobal,7.7669,-72.225,71.78,99,100,2.75,VE,1635037788
413,Ekibastuz,51.6667,75.3667,45.93,70,80,20.18,KZ,1635038029
414,Adrar,20.5022,-10.0711,80.56,16,36,8.19,MR,1635037769
415,Aksarka,66.5606,67.7975,27.1,84,100,17.2,RU,1635037760
416,Rameswaram,9.2833,79.3,82.27,77,11,12.06,IN,1635038032
417,Pevek,69.7008,170.3133,9.23,92,100,6.51,RU,1635037914
418,Lompoc,34.6391,-120.4579,68.38,78,1,6.91,US,1635037966
419,Russell,32.3502,-85.1999,61.83,92,6,0.47,US,1635037941
420,Goryachegorsk,55.4053,88.9154,36.3,92,100,18.03,RU,1635038034
421,Am Timan,11.0297,20.2827,74.64,81,34,4.74,TD,1635038035
422,Marfino,55.7028,37.3822,40.95,85,75,8.95,RU,1635038036
423,Narsaq,60.9167,-46.05,34.02,54,31,5.14,GL,1635037958
424,Teknāf,20.8624,92.3058,75.11,83,100,2.86,BD,1635038037
425,Havelock,34.8791,-76.9013,68.94,90,0,4.03,US,1635037959
426,Havøysund,70.9963,24.6622,32.88,53,100,18.72,NO,1635038039
427,Waycross,31.2136,-82.354,61.27,100,1,0.0,US,1635037945
428,Kismayo,-0.3582,42.5454,77.2,80,11,7.67,SO,1635038040
429,Chimbote,-9.0853,-78.5783,62.58,86,16,8.79,PE,1635038000
430,Acaponeta,22.4964,-105.3594,78.03,89,2,2.1,MX,1635038042
431,Kyra,49.5776,111.9753,36.82,47,1,2.91,RU,1635038043
432,Padang,-0.9492,100.3543,77.05,86,96,5.44,ID,1635037935
433,Glenwood Springs,39.5505,-107.3248,53.4,74,90,11.5,US,1635038044
434,Sabana Grande de Boyá,18.945,-69.7933,77.2,92,84,2.42,DO,1635037822
435,Brae,60.3964,-1.353,53.51,90,100,19.1,GB,1635038046
436,Shitanjing,39.2342,106.3439,47.12,42,1,2.37,CN,1635038047
437,Greenville,35.6127,-77.3663,60.12,84,1,0.0,US,1635037976
438,Port Hedland,-20.3167,118.5667,95.05,12,69,23.02,AU,1635037943
439,Lubango,-14.9172,13.4925,62.91,32,20,2.82,AO,1635038049
440,Lázaro Cárdenas,17.9583,-102.2,77.85,87,100,6.2,MX,1635037931
441,Viranşehir,37.2353,39.7631,62.24,17,0,8.19,TR,1635038050
442,Lagoa,39.05,-27.9833,66.42,62,97,12.19,PT,1635037931
443,Kittery,43.0881,-70.7362,49.17,69,75,6.91,US,1635038052
444,Ilulissat,69.2167,-51.1,21.22,79,90,14.97,GL,1635037635
445,Kaeo,-35.1,173.7833,65.32,98,65,6.2,NZ,1635038053
446,Venice,27.0998,-82.4543,80.01,81,100,1.01,US,1635038005
447,San Javier,37.8063,-0.8374,62.13,81,75,1.01,ES,1635038055
448,Kālānwāli,29.85,74.95,66.07,85,100,15.21,IN,1635038056
449,Nanga Eboko,4.6833,12.3667,67.01,99,100,1.79,CM,1635038056
450,Tilichiki,60.4667,166.1,13.64,86,97,8.37,RU,1635038057
451,Walvis Bay,-22.9575,14.5053,58.08,92,5,11.32,NA,1635037942
452,Matagami,49.7502,-77.6328,39.31,81,90,3.44,CA,1635038059
453,Diego de Almagro,-26.3667,-70.05,55.42,55,0,2.28,CL,1635037898
454,Khanpur,28.6453,70.6567,68.61,73,0,14.63,PK,1635038061
455,Rabat,33.9911,-6.8401,65.05,93,1,0.0,MA,1635037868
456,Hammond,41.5834,-87.5,49.48,69,1,3.44,US,1635038062
457,Abalak,58.1286,68.5944,39.11,87,8,10.29,RU,1635038063
458,Viedma,-40.8135,-62.9967,47.44,23,0,10.25,AR,1635037937
459,Isangel,-19.55,169.2667,80.71,78,75,11.5,VU,1635037904
460,Gamba,-2.65,10.0,75.72,89,100,4.88,GA,1635038065
461,Cap Malheureux,-19.9842,57.6142,74.46,76,97,5.99,MU,1635037889
462,Lukovetskiy,64.2956,41.9211,24.78,97,100,3.09,RU,1635038066
463,Prince George,53.9166,-122.753,48.29,61,53,3.15,CA,1635037814
464,Ahipara,-35.1667,173.1667,64.74,82,30,8.14,NZ,1635037775
465,Goya,-29.14,-59.2626,59.74,94,0,7.38,AR,1635038068
466,Leshukonskoye,64.8989,45.7622,25.09,94,100,4.32,RU,1635037993
467,Samoded,63.6083,40.5111,24.58,95,100,3.67,RU,1635038070
468,Tiznit Province,29.5833,-9.5,63.05,67,1,0.56,MA,1635037979
469,Ponta Delgada,37.7333,-25.6667,66.92,72,20,8.05,PT,1635038008
470,Rome,34.257,-85.1647,60.3,90,1,0.0,US,1635037798
471,Kalbay,5.7233,125.4986,85.87,64,100,4.61,PH,1635038072
472,Kamenka,51.3223,42.7678,39.97,75,10,7.63,RU,1635037972
473,Shubarshi,48.5872,57.1869,43.83,36,9,10.42,KZ,1635038074
474,Bayangol,50.6977,103.4656,31.75,63,20,2.3,RU,1635038075
475,Karratha,-20.7377,116.8463,91.53,20,17,10.89,AU,1635037865
476,Imbituba,-28.24,-48.6703,69.69,95,100,14.12,BR,1635038076
477,Aklavik,68.2191,-135.0107,22.73,95,59,1.01,CA,1635037889
478,Abatskiy,56.2875,70.4555,42.51,86,8,12.15,RU,1635038078
479,Nhulunbuy,-12.2333,136.7667,92.01,46,40,11.5,AU,1635038078
480,Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,75,40,4.47,RU,1635037857
481,Porto-Novo,6.4965,2.6036,76.39,89,100,1.41,BJ,1635038080
482,Ostrovnoy,68.0531,39.5131,26.73,89,100,18.28,RU,1635037793
483,Newport,51.5877,-2.9984,55.45,74,100,19.64,GB,1635038081
484,Mount Gambier,-37.8333,140.7667,53.47,58,95,9.73,AU,1635037892
485,Dhidhdhoo,6.8833,73.1,81.64,78,100,13.96,MV,1635038083
486,Rio Grande,-32.035,-52.0986,58.95,90,89,11.72,BR,1635037823
487,Tigil',57.8,158.6667,30.2,85,100,5.59,RU,1635038085
488,Liverpool,53.4106,-2.9779,53.46,77,75,5.01,GB,1635037786
489,Merauke,-8.4667,140.3333,86.45,57,45,9.01,ID,1635038087
490,Hanzhong,33.0728,107.0303,54.12,80,5,0.76,CN,1635038088
491,Altamira,-3.2033,-52.2064,74.84,90,72,2.33,BR,1635038088
492,Pemba,-12.974,40.5178,75.85,83,100,9.31,MZ,1635038007
493,Kot Kapūra,30.5833,74.9,66.04,84,100,16.55,IN,1635038090
494,Vila do Maio,15.1333,-23.2167,79.61,71,6,15.12,CV,1635038091
495,Vostok,46.4856,135.8833,43.61,50,0,6.22,RU,1635038091
496,Nouadhibou,20.931,-17.0347,67.91,82,0,18.01,MR,1635038092
497,Onega,63.9061,38.1404,29.05,87,100,6.29,RU,1635038093
498,Bagdarin,54.4333,113.6,33.01,55,65,1.86,RU,1635038094
499,Jinchang,38.4953,102.1739,46.69,59,28,1.61,CN,1635038095
500,Pereira Barreto,-20.6383,-51.1092,81.81,52,3,10.0,BR,1635038095
501,Buala,-8.145,159.5921,85.89,64,33,6.58,SB,1635037892
502,Yamoussoukro,6.8206,-5.2767,74.86,94,98,2.82,CI,1635038098
503,Chimoio,-19.1164,33.4833,71.01,62,0,1.86,MZ,1635038098
504,Kungurtug,50.5994,97.5228,27.21,69,18,1.41,RU,1635038099
505,Port Macquarie,-31.4333,152.9167,83.89,62,14,18.16,AU,1635037712
506,Saint Anthony,45.0205,-93.218,45.14,71,1,0.0,US,1635037900
507,Marsh Harbour,26.5412,-77.0636,79.77,76,19,10.36,BS,1635038101
508,Ekhabi,53.5102,142.9671,37.44,76,100,17.54,RU,1635038102
509,Atherton,53.5237,-2.4935,53.22,74,98,5.99,GB,1635038104
510,Chissamba,-12.1667,17.3333,66.0,86,100,3.04,AO,1635038105
511,Talnakh,69.4865,88.3972,22.78,92,100,6.58,RU,1635037937
512,Ambon City,-3.6954,128.1814,86.14,74,40,3.44,ID,1635038107
513,Renfrew,55.872,-4.3925,55.63,92,90,12.66,GB,1635038108
514,Tessalit,20.1986,1.0114,81.84,23,10,8.34,ML,1635038109
515,Poum,-20.2333,164.0167,74.21,77,16,7.4,NC,1635037958
516,Klaksvík,62.2266,-6.589,49.12,87,100,14.85,FO,1635037906
517,Biak,-0.9131,122.8766,82.98,64,66,3.22,ID,1635038111
518,Carnaíba,-8.7,-37.6667,79.07,68,78,7.25,BR,1635038112
519,Rocha,-34.4833,-54.3333,53.62,96,57,7.58,UY,1635038112
520,Puerto Carreño,6.189,-67.4859,80.13,76,100,6.44,CO,1635038113
521,Jamay,20.3,-102.7167,69.01,56,89,5.68,MX,1635038114
522,Coruripe,-10.1256,-36.1756,78.53,84,70,14.03,BR,1635038115
523,Kieta,-6.2167,155.6333,84.11,73,16,6.33,PG,1635038009
524,San Policarpo,12.1791,125.5072,84.4,73,100,8.34,PH,1635037996
525,Saint-Gabriel,46.3001,-73.3824,42.48,68,100,3.85,CA,1635038117
526,Itarema,-2.9248,-39.9167,79.9,80,75,13.09,BR,1635037961
527,Port Hardy,50.6996,-127.4199,50.18,81,75,5.75,CA,1635038116
528,Bismarck,46.8083,-100.7837,46.87,67,75,12.66,US,1635037852
529,Chunskiy,56.0815,99.6342,37.44,73,100,7.49,RU,1635038120
530,Rapid Valley,44.0625,-103.1463,52.05,80,1,1.01,US,1635038121
531,Calama,-22.4667,-68.9333,54.09,20,0,10.36,CL,1635038047
532,Baiyin,36.5583,104.2081,45.39,70,96,2.42,CN,1635038122
533,Jiuquan,39.7432,98.5174,43.0,36,8,5.32,CN,1635038123
534,Zeya,53.75,127.2667,41.09,62,16,2.24,RU,1635038124
535,Portland,45.5234,-122.6762,56.37,94,90,1.01,US,1635038063
536,Sioux Lookout,50.1001,-91.917,35.98,93,90,8.05,CA,1635038125
537,Yulara,-25.2406,130.9889,76.84,20,90,19.57,AU,1635037909
538,Torata,-17.0769,-70.8433,58.48,41,0,0.36,PE,1635038127
539,Mopipi,-21.1833,24.8833,71.87,17,8,8.55,BW,1635038128
540,Marsá Maţrūḩ,31.3525,27.2453,68.34,73,0,6.51,EG,1635037963
541,Chiredzi,-21.05,31.6667,81.86,36,3,5.59,ZW,1635038129
542,Kuah,6.3265,99.8432,84.18,89,20,3.44,MY,1635038130
543,Meulaboh,4.1363,96.1285,78.31,83,100,2.08,ID,1635038131
544,Kaoma,-14.7833,24.8,69.3,60,62,3.33,ZM,1635038132
545,Havre-St-Pierre,50.2334,-63.5986,46.99,100,90,8.05,CA,1635038133
546,Margate,51.3813,1.3862,55.9,77,11,4.0,GB,1635037885
547,Quaraí,-30.3875,-56.4514,59.67,87,76,13.87,BR,1635037880
548,Monaghan,54.25,-6.9667,54.39,95,100,16.78,IE,1635038135
549,Phan Thiet,10.9333,108.1,79.9,79,100,3.0,VN,1635037914
550,Marshall,34.3834,-86.3333,62.49,73,1,4.61,US,1635038060
551,Kibre Mengist,5.8833,38.9833,54.52,95,6,2.55,ET,1635038137
552,Meybod,32.2501,54.0166,51.82,22,0,2.44,IR,1635038138
553,Dudinka,69.4058,86.1778,23.38,91,98,8.32,RU,1635038138
554,Atikokan,48.7555,-91.6216,35.47,76,100,3.91,CA,1635038139
555,Anáhuac,27.2333,-100.15,83.7,54,0,12.35,MX,1635038140
556,Santa Cruz de la Sierra,-17.8,-63.1667,85.46,66,100,18.41,BO,1635038103
557,Takapau,-40.0333,176.35,53.4,88,100,1.25,NZ,1635038142
558,San Quintín,30.4833,-115.95,63.75,72,8,19.01,MX,1635037927
559,Nemuro,43.3236,145.575,50.07,65,25,15.9,JP,1635037999
560,Mercedes,-34.6515,-59.4307,60.85,55,0,7.94,AR,1635038144
561,Ternate,0.8,127.4,83.77,70,91,2.89,ID,1635038000
562,Dapaong,10.8639,0.205,75.88,78,9,3.78,TG,1635038145
563,Natal,-5.795,-35.2094,81.25,78,40,10.36,BR,1635038000
564,Kyzyl-Suu,42.3414,78.0056,30.54,40,0,7.67,KG,1635038146
565,Calvià,39.5657,2.5062,63.91,70,0,6.87,ES,1635038147
566,Mwinilunga,-11.7358,24.4293,65.23,69,6,3.09,ZM,1635038149
567,Sept-Îles,50.2001,-66.3821,46.92,100,90,3.44,CA,1635037731
568,Mariehamn,60.0973,19.9348,26.46,100,100,0.0,AX,1635038150
569,Tāybād,34.74,60.7756,47.1,22,0,5.01,IR,1635037915
570,Callaway,30.153,-85.5699,71.01,79,99,1.99,US,1635038152
571,Ubari,26.5921,12.7805,79.29,17,31,13.98,LY,1635038152
572,Muros,42.7762,-9.0603,56.84,86,0,5.14,ES,1635037890
573,Los Algarrobos,8.5,-82.4333,79.45,94,75,2.3,PA,1635038154
574,Luena,-11.7833,19.9167,63.27,94,53,4.38,AO,1635038155
575,Tura,25.5198,90.2201,66.51,80,44,2.86,IN,1635038005
576,Mocuba,-16.8392,36.9856,72.57,67,23,4.23,MZ,1635037997
577,Ocampo,21.65,-101.5,65.95,45,100,3.67,MX,1635038158
578,Tete,-16.1564,33.5867,80.69,36,0,0.0,MZ,1635038158
579,Machilipatnam,16.1667,81.1333,79.0,88,71,6.38,IN,1635038159
580,Alto Araguaia,-17.3147,-53.2153,79.54,57,41,13.85,BR,1635038160
581,Bubaque,11.2833,-15.8333,82.85,74,100,9.4,GW,1635037884
582,Hukuntsi,-24.0,21.75,57.0,61,2,14.45,BW,1635037884
583,Mazagão,-0.115,-51.2894,84.25,79,93,5.44,BR,1635038163
584,Nago,26.5881,127.9761,77.16,70,100,6.82,JP,1635038164
585,Moerai,-22.4333,-151.3333,71.26,69,100,12.35,PF,1635037937
586,Berteştii de Jos,44.8333,27.75,48.31,86,100,11.16,RO,1635038167
